tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-1a_LP-DIR-T-1	SS20-1a_LP-DIR-T	SS20-1a	3.5	189.4	35.5	0	0	0.0	0.0	0	273.0	This study	hargrave 2016-02-18 11:26:10	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.109	2.27e-07	5.16e-08	1.98e-07	4.05e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-2	SS20-1a_LP-DIR-T	SS20-1a	1.3	192.7	29.9	0	0	0.0	0.0	1	77.0	This study	hargrave 2016-02-21 12:28:26	LT-LT-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.109	1.93e-07	3.45e-08	3.66e-08	4.64e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-3	SS20-1a_LP-DIR-T	SS20-1a	1.3	191.4	25.1	0	0	0.0	0.0	2	373.0	This study	hargrave 2016-02-22 19:45:22	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.109	1.73e-07	2.78e-08	3.31e-08	5.16e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-4	SS20-1a_LP-DIR-T	SS20-1a	3.0	186.0	15.3	0	0	0.0	0.0	3	473.0	This study	hargrave 2016-02-23 19:32:35	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.109	1.45e-07	1.61e-08	8.79e-08	6.9e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-5	SS20-1a_LP-DIR-T	SS20-1a	3.9	185.0	11.0	0	0	0.0	0.0	4	573.0	This study	hargrave 2016-02-27 17:41:35	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.109	1.42e-07	2.09e-08	1.24e-07	7.08e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-6	SS20-1a_LP-DIR-T	SS20-1a	2.1	188.4	10.9	0	0	0.0	0.0	5	598.0	This study	hargrave 2016-02-29 19:11:05	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.109	1.31e-07	2.67e-08	6.32e-08	3.16e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-7	SS20-1a_LP-DIR-T	SS20-1a	3.2	185.2	10.1	0	0	0.0	0.0	6	623.0	This study	hargrave 2016-03-01 17:39:28	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.109	1.28e-07	1.6e-08	8.66e-08	6.03e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-8	SS20-1a_LP-DIR-T	SS20-1a	3.3	191.2	9.9	0	0	0.0	0.0	7	648.0	This study	hargrave 2016-03-07 17:34:41	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.109	1.25e-07	2.39e-08	1.01e-07	2.84e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-9	SS20-1a_LP-DIR-T	SS20-1a	2.9	186.7	9.0	0	0	0.0	0.0	8	673.0	This study	hargrave 2016-03-08 13:35:59	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.109	1.2e-07	1.39e-08	7.18e-08	5.35e-08	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-10	SS20-1a_LP-DIR-T	SS20-1a	3.0	188.2	8.1	0	0	0.0	0.0	9	698.0	This study	hargrave 2016-03-14 10:52:29	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.109	1.12e-07	2.79e-08	7.86e-08	3.97e-08	SS20-1	SS20	Michipicoten Island
